model,feature,importance,rank
RandomForest,methylation::cg25458630,0.002445821141156913,133
RandomForest,methylation::cg09763175,0.0024241828786303894,134
RandomForest,methylation::cg07966910,0.002403958959259167,135
RandomForest,methylation::cg01107006,0.0024029398312455223,136
RandomForest,methylation::cg15624852,0.0024015169061296295,137
RandomForest,methylation::cg11244340,0.0023943763416993213,138
RandomForest,methylation::cg10540364,0.002393321244307825,139
RandomForest,methylation::cg24989739,0.0023933109507772925,140
RandomForest,methylation::cg13428480,0.002385346162216913,141
RandomForest,methylation::cg08984023,0.002385318007491158,142
RandomForest,methylation::cg16549389,0.0023714018784415916,143
RandomForest,methylation::cg03753681,0.0023691809282658928,144
RandomForest,methylation::cg09376680,0.0023668304591496093,145
RandomForest,methylation::cg21920859,0.002325721446383525,146
RandomForest,methylation::cg23687603,0.0023172559963231527,147
RandomForest,methylation::cg17561435,0.0022845358148158505,148
RandomForest,methylation::cg25776856,0.0022797605382332553,149
RandomForest,methylation::cg09722742,0.0022717313382687628,150
RandomForest,methylation::cg03028236,0.0022576385805933475,151
RandomForest,methylation::cg16877924,0.0022474887077044313,152
RandomForest,methylation::cg08371659,0.0022169714673645406,153
RandomForest,methylation::cg03774026,0.002196345868484943,154
RandomForest,methylation::cg22264975,0.002132291956578821,155
RandomForest,methylation::cg22518696,0.002102332684869647,156
RandomForest,methylation::cg04645342,0.002073204862774386,157
RandomForest,methylation::cg16354296,0.0020651464116782305,158
RandomForest,methylation::cg00359911,0.0020334698144647066,159
RandomForest,methylation::cg21548032,0.00199124528468264,160
RandomForest,methylation::cg23881278,0.0019865640216790927,161
RandomForest,methylation::cg03444715,0.0019420365200230564,162
RandomForest,methylation::cg06458358,0.0017516981271686071,163
RandomForest,methylation::cg07262244,0.0015604942666827758,164
RandomForest,methylation::cg08613597,0.001444360786376301,165
RandomForest,methylation::cg12717594,0.0013837687190530413,166
RandomForest,methylation::cg02783103,0.0013837629974827704,167
RandomForest,methylation::cg23032045,0.0013801290325839216,168
RandomForest,methylation::cg25343990,0.001358972874843418,169
RandomForest,methylation::cg25330843,0.0013562549675961647,170
RandomForest,methylation::cg07300200,0.0013287686040580847,171
RandomForest,methylation::cg02268229,0.0012964130003481301,172
RandomForest,methylation::cg12615137,0.0012769839525854985,173
RandomForest,methylation::cg07724977,0.0012637525756635415,174
RandomForest,methylation::cg02176407,0.0012588791171843682,175
RandomForest,methylation::cg25363607,0.0012444561296632572,176
RandomForest,methylation::cg04422150,0.0012284219773766659,177
RandomForest,methylation::cg06184647,0.0011774763544802405,178
RandomForest,methylation::cg14339043,0.0011747845556159182,179
RandomForest,methylation::cg03292388,0.0011733173111872616,180
RandomForest,methylation::cg14632696,0.0011573561035464778,181
RandomForest,methylation::cg15424739,0.0011481713838012177,182
RandomForest,methylation::cg07204353,0.0011413905976597597,183
RandomForest,methylation::cg08748671,0.0011410303154520333,184
RandomForest,methylation::cg25508217,0.0011313425819003769,185
RandomForest,methylation::cg22025849,0.001128358909603034,186
RandomForest,methylation::cg11576834,0.0011126819077805525,187
RandomForest,methylation::cg19777864,0.0011085875169136923,188
RandomForest,methylation::cg25497529,0.0011068547743352337,189
RandomForest,methylation::cg06060191,0.0011043221645495294,190
RandomForest,methylation::cg25281171,0.0011008875573641627,191
RandomForest,methylation::cg13643796,0.001088656205259911,192
RandomForest,methylation::cg10946669,0.0010632712984806518,193
RandomForest,methylation::cg14363114,0.0010308202539826908,194
RandomForest,methylation::cg15452573,0.0010285045116967802,195
RandomForest,methylation::cg24400921,0.001021945627595111,196
RandomForest,methylation::cg13524302,0.0010064970041834937,197
RandomForest,methylation::cg19352193,0.001003807154694337,198
RandomForest,methylation::cg19716902,0.0010006444526221706,199
RandomForest,methylation::cg20467168,0.0009927792807578545,200
